Group,List Type,Score
Expert,Real,14
Expert,Real,11
Expert,Real,15
Expert,Real,18
Expert,Real,16
Expert,Real,18
Expert,Real,15
Expert,Real,13
Expert,Real,11
Expert,Real,9
Expert,Real,17
Expert,Real,15
Expert,Real,14
Expert,Real,16
Expert,Real,18
Expert,Real,19
Expert,Real,11
Expert,Real,10
Expert,Real,19
Expert,Real,15
Expert,Random,6
Expert,Random,5
Expert,Random,8
Expert,Random,4
Expert,Random,7
Expert,Random,8
Expert,Random,9
Expert,Random,5
Expert,Random,7
Expert,Random,5
Expert,Random,6
Expert,Random,9
Expert,Random,5
Expert,Random,7
Expert,Random,8
Expert,Random,9
Expert,Random,5
Expert,Random,6
Expert,Random,5
Expert,Random,4
Novice,Real,8
Novice,Real,6
Novice,Real,7
Novice,Real,9
Novice,Real,8
Novice,Real,6
Novice,Real,5
Novice,Real,7
Novice,Real,5
Novice,Real,4
Novice,Real,6
Novice,Real,5
Novice,Real,2
Novice,Real,7
Novice,Real,8
Novice,Real,9
Novice,Real,5
Novice,Real,6
Novice,Real,7
Novice,Real,9
Novice,Random,6
Novice,Random,8
Novice,Random,9
Novice,Random,6
Novice,Random,5
Novice,Random,9
Novice,Random,6
Novice,Random,7
Novice,Random,5
Novice,Random,6
Novice,Random,7
Novice,Random,5
Novice,Random,4
Novice,Random,6
Novice,Random,7
Novice,Random,9
Novice,Random,8
Novice,Random,6
Novice,Random,5
Novice,Random,6 